iter	RMSE
381	51928.39933
382	51914.38287
383	51906.77019
384	51887.21561
385	51875.26299
386	51860.47134
387	51849.80607
388	51830.66992
389	51816.26889
390	51799.87793
391	51789.38172
392	51783.30678
393	51769.38598
394	51756.96404
395	51748.14282
396	51734.04288
397	51721.83114
398	51702.94707
399	51689.73067
400	51679.61418
401	51673.69235
402	51657.17599
403	51645.24351
404	51634.35956
405	51621.57652
406	51606.32963
407	51597.52443
408	51581.25894
409	51571.39937
410	51562.04723
411	51556.57384
412	51540.45508
413	51526.80888
414	51509.72817
415	51497.42031
416	51487.03866
417	51471.36721
418	51457.68985
419	51455.13134
420	51436.39375
421	51417.9141
422	51406.33456
423	51385.36034
424	51377.93512
425	51364.339
426	51351.40887
427	51343.47367
428	51328.28353
429	51311.45123
430	51298.84535
431	51284.50873
432	51269.64156
433	51254.70584
434	51237.46609
435	51223.77371
436	51213.14744
437	51197.39033
438	51187.06557
439	51173.322
440	51163.32945
441	51152.81368
442	51137.53634
443	51121.7107
444	51117.60044
445	51103.54414
446	51096.04793
447	51085.36088
448	51072.58224
449	51061.38828
450	51052.02481
451	51040.08751
452	51030.57228
453	51025.7584
454	51016.93211
455	51005.56199
456	50995.10079
457	50982.54385
458	50973.24825
459	50956.32549
460	50936.97796
461	50925.8049
462	50910.56636
463	50898.54572
464	50886.3954
465	50877.90816
466	50863.00924
467	50844.06502
468	50836.21982
469	50822.27122
470	50805.1722
471	50794.12903
472	50784.80978
473	50774.53903
474	50757.2712
475	50746.95029
476	50734.20669
477	50710.4858
478	50695.69187
479	50686.89014
480	50684.2151
481	50668.38534
482	50666.08892
483	50660.59743
484	50652.06465
485	50640.25365
486	50628.87611
487	50621.48448
488	50609.70839
489	50599.44789
490	50583.03934
491	50566.74333
492	50557.04566
493	50545.38638
494	50532.78867
495	50523.40771
496	50515.11038
497	50498.82197
498	50480.77655
499	50470.73469
500	50464.20483
501	50449.49694
502	50435.52372
503	50424.21106
504	50415.03212
505	50405.52778
506	50398.20146
507	50386.18219
508	50376.41659
509	50363.58473
510	50351.63908
511	50334.56257
512	50323.50136
513	50308.14194
514	50299.71558
515	50284.02615
516	50272.28498
517	50259.1218
518	50242.44281
519	50226.27549
520	50214.86347
521	50203.22314
522	50192.03524
523	50179.90738
524	50170.79133
525	50162.25319
526	50151.13532
527	50139.97662
528	50131.87972
529	50119.26075
530	50106.1141
531	50095.81042
532	50087.62399
533	50071.01696
534	50053.3439
535	50041.24641
536	50026.18816
537	50014.75238
538	50001.12699
539	49989.7814
540	49981.47135
541	49972.29983
542	49959.78515
543	49951.17498
544	49943.16626
545	49930.76193
546	49917.32369
547	49907.1588
548	49899.01867
549	49891.2793
550	49875.43468
551	49864.90269
552	49854.51873
553	49847.3316
554	49836.40081
555	49828.95388
556	49814.00226
557	49797.10172
558	49789.58558
559	49777.45647
560	49769.15082
561	49756.45738
562	49747.68197
563	49743.18812
564	49736.48316
565	49723.92617
566	49709.34879
